publisher_id,publisher_name
1,10/18
2,"1st Book Library"
3,"1st World Library"
4,"A & C Black (Childrens books)"
5,"A Harvest Book/Harcourt Inc."
6,"A K PETERS"
7,"AA World Services"
8,Abacus
9,"Abacus Books"
10,"Abacus Books (London)"
11,"Abdo Publishing Company"
12,"Abingdon Press"
13,"Abradale Books/Harry N. Abrams"
14,"Abraham Guillen Press"
15,Abrams
16,"Absolute Press"
17,"Abstract Studio"
18,"Academic Press"
19,"Academica Press"
20,"Academy Chicago Publishers"
21,Ace
22,"Ace Book"
23,"Ace Books"
24,"Ace Hardcover"
25,"Ace Trade"
26,Ace/SFBC
27,"Acento Editorial"
28,"Acropolis Books (NY)"
29,"Actes Sud"
30,"Adamant Media Corporation"
31,"Adams Media"
32,"Addison Wesley"
33,"Addison Wesley Publishing Company"
34,"Addison-Wesley Professional"
35,"ADV Manga"
36,"Advantage World Press"
37,"Adventures Unlimited Press"
38,Aegypan
39,Aerie
40,"AHA! Process"
41,"AIT Planet Lar"
42,"Aivia Press"
43,"AK Press"
44,"Akashic Books/Punk Planet Books"
45,Aladdin
46,"Aladdin Paperbacks"
47,"Alan Rodgers Books"
48,"Albert Whitman Company"
49,"Albin Michel"
50,"Albury Publishing"
51,"Alcoholics Anonymous World Services Inc"
52,"Alderac Entertainment Group"
53,"Alderac Entertainment Group (AEG)"
54,"Alfabeta Bokförlag"
55,Alfaguara
56,"Alfaguara Infantil"
57,"Alfred A. Knopf"
58,"Alfred A. Knopf Inc."
59,"Alfred A. Knopf Books for Young Readers"
60,"Alfred A. Knopf Borzoi Books"
61,"Alfred A.Knopf"
62,"Algonquin Books"
63,"Alianza Editorial"
64,"Alison Green Books"
65,"Allen & Ulwin"
66,"Allen Lane"
67,"Alliance Publishing"
68,Allworth
69,"Allyn & Bacon"
70,Alpha
71,"Alpha Books"
72,"Alyson Books"
73,Amadeus
74,"Amereon Limited"
75,"Amereon Ltd"
76,"America's Test Kitchen"
77,"American Diabetes Association"
78,"American Girl Publishing Inc"
79,"American University in Cairo Press"
80,"Amherst Media"
81,"Amherst Media Inc."
82,Amistad
83,"Amistad Press"
84,"AMR/Advanced Management Reports"
85,Anagrama
86,Anchor
87,"Anchor Bible"
88,"Anchor Books"
89,"Anchor Books/Knopf Doubleday Publishing Group"
90,"Anchor Canada"
91,"Andrews and McMeel"
92,"Andrews McMeel Publishing"
93,"Ann Arbor Media"
94,"Annick Press"
95,"Applause Books"
96,"Applause Theatre & Cinema Book Publishers"
97,Apple
98,"Apple Paperbacks (Scholastic)"
99,"Applewood Books"
100,Apress
101,"Arbordale Publishing"
102,"Arcade Publishing"
103,"Arcadia Publishing"
104,"Arcadia Publishing (SC)"
